City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
238,brosteni,47.2333,25.7,-3.97,72,80,1.76,RO,1706671191
239,sierra vista,31.5545,-110.3037,13.03,57,75,2.24,US,1706671191
240,pokhvistnevo,53.6524,52.1274,-2.07,89,100,7.62,RU,1706671191
241,portland,45.5234,-122.6762,13.49,74,100,8.94,US,1706670856
242,lazaro cardenas,17.9583,-102.2,25.21,74,100,0.66,MX,1706671191
243,paita,-5.0892,-81.1144,24.29,83,100,5.1,PE,1706671191
244,shiyan,32.6475,110.7781,7.67,73,63,2.22,CN,1706671192
245,grootfontein,-19.5667,18.1167,18.37,85,76,2.7,NA,1706671192
246,nuuk,64.1835,-51.7216,-8.66,67,100,7.2,GL,1706671192
247,sungai penuh,-2.0833,101.3833,25.48,66,82,0.21,ID,1706671192
248,berezovyy,51.6667,135.7,-17.58,65,9,0.66,RU,1706671192
249,ghat,24.9647,10.1728,7.12,58,0,1.4,LY,1706671192
250,khorixas,-20.3667,14.9667,24.48,44,90,2.02,NA,1706671193
251,whitehorse,60.7161,-135.0538,-2.57,50,20,4.12,CA,1706671193
252,balabac,7.9868,117.0645,27.96,74,43,6.42,PH,1706671193
253,beni,0.5,29.4667,17.91,68,95,0.69,CD,1706671193
254,sisimiut,66.9395,-53.6735,-20.38,74,100,8.34,GL,1706671193
255,la ronge,55.1001,-105.2842,6.14,52,0,4.12,CA,1706671194
256,la passe,45.5549,-0.8967,7.21,91,88,2.61,FR,1706671194
257,kuta,-8.7233,115.1723,30.97,70,20,3.13,ID,1706671194
258,lebork,54.5392,17.7501,6.07,90,100,4.39,PL,1706671194
259,nieuw amsterdam,5.8833,-55.0833,26.09,83,26,7.43,SR,1706671194
260,peniche,39.3558,-9.3811,14.96,85,100,4.44,PT,1706671194
261,matoury,4.8483,-52.3317,25.98,94,100,0.0,GF,1706671195
262,agadez,19.75,10.25,11.53,42,0,5.47,NE,1706671195
263,ertil',51.8406,40.8056,-5.91,99,100,1.15,RU,1706671195
264,ikovka,55.6089,64.9375,-16.0,97,100,3.22,RU,1706671195
265,chui,-33.6971,-53.4616,18.37,88,0,2.67,UY,1706671195
266,fortaleza,-3.7227,-38.5247,29.01,83,40,3.6,BR,1706671195
267,miranda,3.2499,-76.2281,22.07,89,80,1.97,CO,1706671196
268,haiku-pauwela,20.9219,-156.3051,21.95,94,100,5.14,US,1706671196
269,santiago,-33.4569,-70.6483,27.41,39,0,4.12,CL,1706671019
270,yverdon-les-bains,46.7785,6.6412,7.6,66,46,0.78,CH,1706671196
271,namibe,-15.1961,12.1522,24.3,80,17,1.29,AO,1706671196
272,bonthe,7.5264,-12.505,25.53,87,64,1.75,SL,1706671196
273,la mira,18.035,-102.3266,24.63,77,100,0.61,MX,1706671197
274,aykhal,66.0,111.5,-23.26,100,89,1.42,RU,1706671197
275,muroto-misakicho,33.2833,134.15,13.66,77,94,2.42,JP,1706671197
276,masuguru,-11.3667,38.4167,22.29,99,100,1.59,TZ,1706671197
277,nambucca heads,-30.65,153.0,28.33,67,64,3.95,AU,1706671197
278,argostolion,38.1811,20.489,5.41,66,0,3.59,GR,1706671197
279,uthal,25.8072,66.6219,20.0,86,100,1.11,PK,1706671198
280,bayanaul,50.7889,75.6956,-11.88,93,97,2.9,KZ,1706671198
281,nasir,15.5894,32.5634,17.54,20,15,6.73,SD,1706671198
282,kerema,-7.9631,145.7785,24.96,88,92,7.22,PG,1706671198
283,kavalerovo,44.2661,135.0572,-0.81,77,100,0.45,RU,1706670945
284,bohicon,7.1783,2.0667,24.34,76,10,1.03,BJ,1706671199
285,roma,43.2128,-75.4557,-0.03,90,100,2.06,US,1706670914
286,mount pleasant,32.7941,-79.8626,10.55,93,0,2.06,US,1706671001
287,vallenar,-28.5708,-70.7581,23.5,61,0,0.68,CL,1706671199
288,freeport,40.6576,-73.5832,2.92,77,100,6.69,US,1706670975
